name,latitude,longitude,diameter_km,depth_km,age_ma,pitch_hz,volume,pan,duration_ms
Tycho,-43.31,-11.36,85,4.7,108,300,94,-0.06,483
Copernicus,9.62,-20.08,93,3.8,800,310,76,-0.11,510
Kepler,8.13,-38.04,32,2.6,800,175,52,-0.21,275
Aristarchus,23.73,-47.4,40,3,450,193,60,-0.26,307
Plato,51.62,-9.33,101,1,3500,336,20,-0.05,537
Archimedes,29.72,-4,83,2.1,3500,293,42,-0.02,477
Eratosthenes,14.47,-11.29,58,3.6,3200,235,72,-0.06,373
Langrenus,-8.86,60.93,132,2.7,3800,407,54,0.34,640
Petavius,-25.34,60.37,177,3.3,3800,514,66,0.34,777
Theophilus,-11.42,26.37,100,4.4,3200,333,88,0.15,533
Aristoteles,50.17,17.42,87,3.6,3500,303,72,0.1,490
Alphonsus,-13.42,-2.83,119,2.7,3900,378,54,-0.02,597
Ptolemaeus,-9.17,-1.83,153,2.4,3900,457,48,-0.01,710
Gassendi,-17.58,-40.08,110,1.9,3900,360,38,-0.22,573
Grimaldi,-5.5,-68.33,222,2.3,3900,618,46,-0.38,887
Clavius,-58.42,-14.42,225,3.5,3900,625,70,-0.08,900
Bailly,-66.5,-69.08,303,4,3900,800,80,-0.38,1000
Humboldt,-27,80.92,207,3.1,3800,584,62,0.45,857
Atlas,46.67,44.42,87,2.1,3800,303,42,0.25,490
Posidonius,31.83,29.92,95,1.6,3800,323,32,0.17,517